Timestamp,Pets,Color,Sleep
11/17/2014 10:49:06,0,Green,9.5
11/17/2014 10:49:12,1,Purple,5.5
11/17/2014 10:49:18,0,Orange,7
11/17/2014 10:49:21,1,Blue,5
11/17/2014 10:49:32,2,Blue,6
11/17/2014 10:49:48,3,Blue,7
11/17/2014 10:49:59,1,Green,8
11/17/2014 10:50:06,2,Blue,6
11/17/2014 10:50:34,0,Blue,9.5
11/17/2014 10:50:41,4,Purple,7
11/17/2014 10:50:51,2,Green,7
11/17/2014 10:52:22,2,White,6
11/17/2014 10:52:30,0,Green,8
11/17/2014 10:52:51,1,Blue,9.45
11/17/2014 10:53:22,4,Green,9
11/17/2014 10:53:37,0,BlueGreen,5.5
11/17/2014 10:54:32,0,Blue,4
11/17/2014 10:54:49,1,Blue,6
11/17/2014 10:55:51,1,GlacialBlue,4
11/17/2014 10:56:28,3,Red,8
11/17/2014 10:57:01,0,Purple,9
11/17/2014 10:58:40,3,Green,7
11/17/2014 10:58:52,1,Pink,7
11/17/2014 11:00:48,5,Red,8
11/17/2014 11:04:04,0,Blue,6.5
11/17/2014 11:05:16,2,Green,8