"x","y","elevation","forest","chaparral","habitat","seeds","jays"
258636.7,3764124.4,423,0,0.02,"Oak","Med",34
261936.7,3769224.4,506,0.1,0.45,"Oak","Med",38
246336.7,3764124.4,859,0,0.26,"Oak","High",40
239436.7,3763524.4,1508,0.02,0.03,"Pine","Med",43
239436.7,3767724.4,483,0.26,0.37,"Oak","Med",36
236436.7,3769524.4,830,0,0.01,"Oak","Low",39
263736.7,3766524.4,457,0.02,0.22,"Oak","Med",38
242136.7,3761724.4,304,0,0.09,"Pine","Low",35
238536.7,3766224.4,834,0.54,0.21,"Pine","Med",41
238236.7,3772824.4,164,0,0.11,"Pine","High",33
253536.7,3766824.4,382,0.03,0.11,"Oak","Med",34
247836.7,3765924.4,750,0.01,0.53,"Bare","High",37
240336.7,3762924.4,657,0,0,"Oak","Low",37
238536.7,3772524.4,321,0,0.32,"Oak","Med",38
252036.7,3764424.4,516,0,0.24,"Oak","Med",42
240636.7,3765924.4,766,0.17,0.18,"Pine","Low",43
235236.7,3765324.4,464,0,0,"Oak","Med",39
234336.7,3770424.4,438,0,0.05,"Oak","Med",37
237336.7,3773124.4,313,0,0.23,"Oak","Med",38
236736.7,3766524.4,448,0,0.51,"Oak","High",40
249636.7,3768624.4,629,0.53,0.03,"Oak","Med",37
246336.7,3769824.4,742,0.09,0.22,"Oak","Med",35
252636.7,3764124.4,321,0.07,0.1,"Oak","Low",37
261636.7,3768324.4,1276,0.02,0.36,"Oak","High",44
248736.7,3766524.4,1024,0.03,0.41,"Pine","Low",45
264336.7,3768324.4,284,0,0.25,"Oak","High",37
235836.7,3766824.4,407,0,0.72,"Oak","Med",36
247236.7,3770724.4,21,0.05,0.39,"Oak","Med",34
255936.7,3765024.4,1400,0.02,0.45,"Oak","High",48
259536.7,3765924.4,1419,0,0.07,"Pine","Med",43
238836.7,3771624.4,621,0.08,0.25,"Bare","Med",39
245736.7,3762924.4,1004,0.02,0.32,"Oak","Low",41
254436.7,3764724.4,1016,0,0.21,"Oak","Med",45
248736.7,3765924.4,801,0.01,0.39,"Oak","Med",38
252636.7,3767424.4,211,0.12,0.21,"Oak","Med",35
237936.7,3765924.4,853,0.27,0.09,"Pine","Med",38
247836.7,3766824.4,970,0,0.45,"Bare","Med",39
230736.7,3773724.4,390,0,0,"Oak","Med",38
261636.7,3765324.4,533,0,0.11,"Oak","Low",41
244536.7,3762024.4,387,0.01,0.24,"Oak","Med",38
246636.7,3762024.4,181,0,0.69,"Pine","Med",36
253236.7,3765324.4,1171,0,0.15,"Pine","Low",43
261936.7,3769824.4,520,0,0.21,"Oak","Med",38
236136.7,3768924.4,466,0,0.02,"Pine","Med",36
245136.7,3771024.4,208,0.22,0.44,"Pine","Low",33
249636.7,3764124.4,704,0,0.85,"Oak","Med",41
248736.7,3765324.4,398,0.15,0.36,"Pine","Med",38
235236.7,3768624.4,179,0,0.14,"Bare","Med",30
244836.7,3767724.4,1114,0,0.4,"Oak","Med",39
238536.7,3764724.4,487,0.11,0.55,"Oak","Med",36
266136.7,3768624.4,200,0,0,"Oak","Low",39
243336.7,3763524.4,319,0.01,0.37,"Oak","Med",36
238236.7,3766824.4,503,0.17,0.45,"Oak","Med",34
237036.7,3762324.4,12,0,0.11,"Pine","Med",30
241236.7,3764724.4,534,0.01,0.14,"Pine","Med",38
234636.7,3771324.4,680,0,0,"Pine","Med",37
244236.7,3765924.4,1242,0.03,0.85,"Pine","Med",44
257736.7,3766524.4,639,0,0.24,"Pine","Med",36
248736.7,3761424.4,379,0,0.01,"Bare","Low",36
244536.7,3765024.4,783,0.02,0.65,"Pine","Med",40
246936.7,3767724.4,1537,0,0.14,"Oak","Med",44
249636.7,3767124.4,1309,0,0.12,"Oak","Low",48
235836.7,3768924.4,344,0,0.02,"Pine","High",37
232836.7,3773124.4,775,0,0.11,"Oak","Med",41
238836.7,3764124.4,723,0.34,0.05,"Oak","Med",42
240336.7,3761724.4,252,0,0.03,"Pine","Med",30
240336.7,3768324.4,1092,0,0.13,"Pine","High",41
240936.7,3768024.4,1368,0,0.05,"Bare","High",39
238836.7,3766224.4,886,0.59,0.23,"Oak","Low",43
231336.7,3772224.4,15,0,0.01,"Pine","Med",30
261636.7,3765624.4,849,0,0.09,"Oak","Med",42
259536.7,3765624.4,1184,0,0.26,"Oak","Med",42
241236.7,3766524.4,1122,0,0.36,"Pine","Med",41
234636.7,3769524.4,232,0,0,"Oak","Med",38
259536.7,3768024.4,407,0,0,"Pine","Med",36
264936.7,3768624.4,402,0,0,"Oak","Low",37
241236.7,3763524.4,171,0,0.43,"Pine","Med",33
243936.7,3768024.4,1242,0,0.16,"Pine","Med",44
255936.7,3766224.4,878,0.04,0.45,"Oak","Low",38
255336.7,3766824.4,256,0.09,0.13,"Pine","Low",35
259836.7,3765624.4,1027,0,0.08,"Oak","Med",45
247236.7,3767424.4,1332,0,0.36,"Pine","Low",41
264636.7,3766524.4,221,0.02,0.08,"Pine","Low",35
232836.7,3772524.4,296,0,0.25,"Oak","High",38
264336.7,3768024.4,373,0,0.29,"Pine","High",37
243636.7,3767124.4,922,0.01,0.48,"Oak","Low",45
242736.7,3762624.4,367,0,0.1,"Pine","Med",33
263736.7,3766824.4,666,0.02,0.31,"Oak","High",42
234936.7,3773724.4,358,0,0.18,"Bare","Med",34
234336.7,3771624.4,1143,0,0.01,"Oak","Med",45
237036.7,3766824.4,562,0,0.49,"Oak","Med",40
247536.7,3763824.4,984,0.06,0.69,"Pine","Med",42
240336.7,3770424.4,951,0.16,0.31,"Oak","Med",40
245436.7,3768024.4,1404,0,0.46,"Pine","Med",44
258936.7,3767124.4,804,0.19,0.68,"Oak","Med",40
259836.7,3768024.4,210,0,0,"Oak","Low",33
249336.7,3769524.4,467,0.7,0.09,"Pine","Med",36
262236.7,3767424.4,1318,0.02,0.23,"Oak","Med",44
261936.7,3770124.4,354,0,0.05,"Bare","Low",33
247836.7,3769524.4,686,0.1,0.32,"Oak","Med",40
